test_id,turn,baseline_tokens,compressed_tokens,ratio,baseline_overflow,compressed_overflow
A,1,26,72,0.36,0,0
A,2,889,562,1.58,0,0
A,3,1617,566,2.86,0,0
A,4,2319,608,3.81,0,0
A,5,2975,615,4.84,0,0
A,6,3675,662,5.55,0,0
A,7,4263,577,7.39,0,0
A,8,4835,597,8.1,0,0
A,9,5463,621,8.8,0,0
A,10,6141,657,9.35,0,0
A,11,6887,682,10.1,0,0
A,12,7608,682,11.16,0,0
A,13,8347,723,11.54,1,0
A,14,8504,329,25.85,1,0
A,15,8921,510,17.49,1,0
A,16,9197,455,20.21,1,0
B,1,18,68,0.26,0,0
B,2,873,596,1.46,0,0
B,3,1619,621,2.61,0,0
B,4,2410,647,3.72,0,0
B,5,3090,672,4.6,0,0
B,6,3638,631,5.77,0,0
B,7,4136,665,6.22,0,0
B,8,4588,711,6.45,0,0
B,9,4760,385,12.36,0,0
B,10,5320,727,7.32,0,0
B,11,5927,724,8.19,0,0
B,12,6312,494,12.78,0,0
B,13,6710,503,13.34,0,0
B,14,7143,512,13.95,0,0
B,15,7680,588,13.06,0,0
B,16,8193,542,15.12,1,0
B,17,8819,644,13.69,1,0
C,1,13,19,0.68,0,0
C,2,611,374,1.63,0,0
C,3,1020,283,3.6,0,0
C,4,1452,303,4.79,0,0
C,5,2239,496,4.51,0,0
C,6,3238,585,5.54,0,0
C,7,3858,374,10.32,0,0
C,8,4539,422,10.76,0,0
C,9,5228,424,12.33,0,0
C,10,6164,576,10.7,0,0
C,11,7074,577,12.26,0,0
C,12,7305,213,34.3,0,0
C,13,7588,244,31.1,0,0
C,14,8092,348,23.25,0,0
C,15,9024,616,14.65,1,0
C,16,10008,616,16.25,1,0
C,17,10264,232,44.24,1,0
D,1,31,39,0.79,0,0
D,2,429,259,1.66,0,0
D,3,746,236,3.16,0,0
D,4,1066,252,4.23,0,0
D,5,1409,266,5.3,0,0
D,6,1857,329,5.64,0,0
D,7,2356,361,6.53,0,0
D,8,3327,618,5.38,0,0
D,9,4263,570,7.48,0,0
D,10,4884,423,11.55,0,0
D,11,5437,393,13.83,0,0
D,12,5965,389,15.33,0,0
D,13,6310,282,22.38,0,0
D,14,6827,383,17.83,0,0
D,15,7046,294,23.97,0,0
E,1,16,105,0.15,0,0
E,2,798,497,1.61,0,0
E,3,1688,523,3.23,0,0
E,4,2447,451,5.43,0,0
E,5,3225,466,6.92,0,0
E,6,3902,407,9.59,0,0
E,7,4717,473,9.97,0,0
E,8,5419,414,13.09,0,0
E,9,6046,377,16.04,0,0
E,10,6835,460,14.86,0,0
E,11,7520,407,18.48,0,0
E,12,8221,418,19.67,1,0
E,13,8934,432,20.68,1,0
E,14,9671,450,21.49,1,0
E,15,10591,535,19.8,1,0
E,16,11514,538,21.4,1,0
E,17,12431,605,20.55,1,0
F,1,28,38,0.74,0,0
F,2,328,188,1.74,0,0
F,3,582,153,3.8,0,0
F,4,937,202,4.64,0,0
F,5,1348,216,6.24,0,0
F,6,1800,236,7.63,0,0
F,7,2255,242,9.32,0,0
F,8,2741,263,10.42,0,0
F,9,3360,332,10.12,0,0
F,10,4161,419,9.93,0,0
F,11,5110,538,9.5,0,0
F,12,5930,489,12.13,0,0
F,13,6488,334,19.43,0,0
F,14,7199,431,16.7,0,0
G,1,18,28,0.64,0,0
G,2,340,183,1.86,0,0
G,3,786,238,3.3,0,0
G,4,1134,190,5.97,0,0
G,5,1441,186,7.75,0,0
G,6,1797,254,7.07,0,0
G,7,2176,271,8.03,0,0
G,8,3134,583,5.38,0,0
G,9,4119,573,7.19,0,0
G,10,5161,627,8.23,0,0
G,11,6191,653,9.48,0,0
G,12,6949,530,13.11,0,0
G,13,7814,632,12.36,0,0
G,14,8658,637,13.59,1,0
H,1,22,31,0.71,0,0
H,2,1008,572,1.76,0,0
H,3,1981,557,3.56,0,0
H,4,2956,559,5.29,0,0
H,5,3919,558,7.02,0,0
H,6,4878,555,8.79,0,0
H,7,5564,768,7.24,0,0
H,8,6225,760,8.19,0,0
H,9,6778,785,8.63,0,0
H,10,7181,297,24.18,0,0
H,11,7677,485,15.83,0,0
H,12,8294,739,11.22,1,0
H,13,8825,857,10.3,1,0
H,14,9532,748,12.74,1,0
